Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1979-80,23,BOS,NBA,PF,9,372,18.3,.511,.085,.141,6.7,24.5,15.5,17.7,1.9,1.3,14.9,25.2,,0.3,0.8,1.1,.136,,2.2,2.9,5.0,0.7
1980-81,24,BOS,NBA,PF,17,750,21.8,.532,.026,.272,7.6,26.7,17.6,20.8,2.6,1.3,15.0,23.2,,1.4,1.7,3.1,.198,,3.8,4.5,8.3,2.0
1981-82,25,BOS,NBA,PF,12,490,17.9,.474,.029,.218,7.2,24.5,16.1,20.7,2.3,2.0,14.4,21.9,,0.3,1.2,1.6,.154,,2.0,4.1,6.1,1.0
1982-83,26,BOS,NBA,PF,6,240,20.3,.478,.034,.250,8.9,24.7,16.7,28.2,2.7,0.7,12.9,25.8,,0.2,0.5,0.7,.134,,3.0,4.7,7.7,0.6
1983-84,27,BOS,NBA,PF,23,961,26.3,.607,.039,.435,7.2,23.1,15.0,23.2,2.8,1.7,14.3,25.9,,3.0,1.7,4.7,.236,,6.3,3.9,10.2,2.9
1984-85,28,BOS,NBA,SF,20,815,20.9,.536,.059,.320,7.3,17.5,12.4,21.3,2.0,1.3,10.5,26.8,,1.5,1.1,2.6,.155,,3.4,2.3,5.7,1.6
1985-86,29,BOS,NBA,SF,18,770,23.9,.615,.169,.329,5.3,18.0,12.1,28.1,2.3,0.8,11.0,23.3,,2.7,1.5,4.2,.263,,7.9,2.4,10.3,2.4
1986-87,30,BOS,NBA,SF,23,1015,21.8,.577,.090,.425,5.0,21.6,13.6,24.5,1.3,1.1,11.6,25.9,,2.4,0.9,3.2,.152,,2.6,3.2,5.8,2.0
1987-88,31,BOS,NBA,SF,17,763,20.2,.538,.095,.334,4.7,19.0,11.9,26.1,2.5,1.1,11.2,25.9,,1.2,1.2,2.4,.151,,2.9,3.3,6.2,1.6
1989-90,33,BOS,NBA,SF,5,207,20.7,.539,.192,.323,4.4,21.7,13.6,28.8,1.2,1.4,13.7,26.7,,0.4,0.0,0.4,.103,,0.3,1.8,2.1,0.2
1990-91,34,BOS,NBA,SF,10,396,15.8,.490,.138,.336,2.4,17.6,10.4,23.7,1.7,0.5,9.8,21.4,,0.3,0.4,0.6,.078,,0.1,2.1,2.2,0.4
1991-92,35,BOS,NBA,SF,4,107,16.4,.514,.119,.095,2.2,19.6,10.4,27.8,0.5,1.3,12.1,20.6,,0.1,0.1,0.2,.069,,-0.6,2.1,1.6,0.1
