Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1979-80,23,BOS,NBA,PF,9,,372,83,177,.469,4,15,.267,79,162,.488,.480,22,25,.880,22,79,101,42,14,8,33,30,192
1980-81,24,BOS,NBA,PF,17,,750,147,313,.470,3,8,.375,144,305,.472,.474,76,85,.894,49,189,238,103,39,17,62,53,373
1981-82,25,BOS,NBA,PF,12,,490,88,206,.427,1,6,.167,87,200,.435,.430,37,45,.822,33,117,150,67,23,17,38,43,214
1982-83,26,BOS,NBA,PF,6,,240,49,116,.422,1,4,.250,48,112,.429,.427,24,29,.828,20,55,75,41,13,3,19,15,123
1983-84,27,BOS,NBA,PF,23,,961,229,437,.524,7,17,.412,222,420,.529,.532,167,190,.879,62,190,252,136,54,27,87,71,632
1984-85,28,BOS,NBA,SF,20,20,815,196,425,.461,7,25,.280,189,400,.473,.469,121,136,.890,53,129,182,115,34,19,57,54,520
1985-86,29,BOS,NBA,SF,18,18,770,171,331,.517,23,56,.411,148,275,.538,.551,101,109,.927,34,134,168,148,37,11,47,55,466
1986-87,30,BOS,NBA,SF,23,23,1015,216,454,.476,14,41,.341,202,413,.489,.491,176,193,.912,41,190,231,165,27,19,71,55,622
1987-88,31,BOS,NBA,SF,17,17,763,152,338,.450,12,32,.375,140,306,.458,.467,101,113,.894,29,121,150,115,36,14,49,45,417
1989-90,33,BOS,NBA,SF,5,5,207,44,99,.444,5,19,.263,39,80,.488,.470,29,32,.906,7,39,46,44,5,5,18,10,122
1990-91,34,BOS,NBA,SF,10,10,396,62,152,.408,3,21,.143,59,131,.450,.418,44,51,.863,8,64,72,65,13,3,19,28,171
1991-92,35,BOS,NBA,SF,4,2,107,21,42,.500,0,5,.000,21,37,.568,.500,3,4,.750,2,16,18,21,1,2,6,7,45
