Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2007-08,22,NOH,NBA,PG,12,486,30.7,.565,.095,.357,3.7,9.8,6.8,50.1,3.2,0.4,7.9,27.8,,2.4,0.5,2.9,.289,,9.7,2.5,12.3,1.8
2008-09,23,NOH,NBA,PG,5,201,16.1,.505,.219,.288,2.3,11.4,6.7,60.2,2.1,0.0,22.6,25.1,,0.0,-0.1,-0.1,-0.035,,-1.9,0.4,-1.5,0.0
2010-11,25,NOH,NBA,PG,6,250,28.9,.670,.247,.636,1.6,18.6,10.3,53.5,2.5,0.0,18.2,24.1,,1.1,0.1,1.3,.242,,7.4,3.1,10.4,0.8
2011-12,26,LAC,NBA,PG,11,423,20.0,.525,.238,.287,1.8,14.5,8.1,37.7,3.8,0.2,18.9,26.0,,0.5,0.4,0.9,.103,,2.0,2.8,4.8,0.7
2012-13,27,LAC,NBA,PG,6,224,29.2,.633,.207,.402,1.8,11.6,6.9,33.0,2.7,0.0,7.7,25.4,,1.2,0.0,1.2,.267,,7.2,1.8,9.0,0.6
2013-14,28,LAC,NBA,PG,13,472,23.6,.583,.355,.269,2.8,10.8,6.7,45.4,3.9,0.0,15.0,23.9,,1.5,0.5,1.9,.195,,6.0,2.3,8.3,1.2
2014-15,29,LAC,NBA,PG,12,445,25.7,.627,.344,.270,1.7,10.7,6.3,39.1,2.4,0.6,11.0,23.2,,2.0,0.3,2.3,.248,,7.1,0.4,7.6,1.1
2015-16,30,LAC,NBA,PG,4,125,33.2,.575,.263,.197,3.2,9.4,6.3,48.5,3.7,0.0,4.6,30.9,,0.7,0.2,0.8,.322,,13.6,0.6,14.2,0.5
2016-17,31,LAC,NBA,PG,7,260,27.8,.592,.281,.244,1.9,15.6,8.6,52.9,2.5,0.4,11.3,31.2,,1.0,0.4,1.3,.246,,9.6,2.6,12.2,0.9
2017-18,32,HOU,NBA,PG,10,333,25.3,.588,.357,.193,1.3,16.9,9.0,34.1,3.1,0.5,9.3,27.6,,1.1,0.6,1.7,.243,,7.0,1.2,8.2,0.9
