Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,22,NOH,NBA,PG,12,12,486,111,221,.502,5,21,.238,106,200,.530,.514,62,79,.785,16,43,59,135,28,2,22,43,289
2008-09,23,NOH,NBA,PG,5,5,201,30,73,.411,5,16,.313,25,57,.439,.445,18,21,.857,4,18,22,52,8,0,24,8,83
2010-11,25,NOH,NBA,PG,6,6,250,42,77,.545,9,19,.474,33,58,.569,.604,39,49,.796,3,37,40,69,11,0,22,11,132
2011-12,26,LAC,NBA,PG,11,11,423,70,164,.427,13,39,.333,57,125,.456,.466,41,47,.872,6,50,56,87,30,1,43,30,194
2012-13,27,LAC,NBA,PG,6,6,224,49,92,.533,6,19,.316,43,73,.589,.565,33,37,.892,3,21,24,38,11,0,9,17,137
2013-14,28,LAC,NBA,PG,13,13,472,92,197,.467,32,70,.457,60,127,.472,.548,41,53,.774,12,43,55,134,37,0,39,50,257
2014-15,29,LAC,NBA,PG,12,12,445,95,189,.503,27,65,.415,68,124,.548,.574,48,51,.941,7,46,53,105,22,3,26,37,265
2015-16,30,LAC,NBA,PG,4,4,125,37,76,.487,6,20,.300,31,56,.554,.526,15,15,1.000,4,12,16,29,9,0,4,12,95
2016-17,31,LAC,NBA,PG,7,7,260,67,135,.496,14,38,.368,53,97,.546,.548,29,33,.879,4,31,35,69,12,1,19,24,177
2017-18,32,HOU,NBA,PG,10,10,333,83,171,.485,23,61,.377,60,110,.545,.553,29,33,.879,4,51,55,64,21,2,19,26,218
