Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1997-98,21,SAS,NBA,PF,9,374,20.4,.559,.007,.429,6.7,18.2,12.8,9.3,0.7,4.3,13.1,24.8,,0.6,0.7,1.2,.155,,1.1,2.8,3.9,0.6
1998-99,22,SAS,NBA,PF,17,733,25.1,.573,.011,.507,9.6,21.6,16.0,14.2,1.0,4.4,13.1,26.8,,2.1,1.7,3.7,.243,,4.5,2.9,7.5,1.8
2000-01,24,SAS,NBA,PF,13,526,25.4,.531,.004,.484,11.5,26.3,19.2,19.9,1.4,4.5,14.4,31.2,,0.8,1.1,1.9,.173,,2.5,5.2,7.6,1.3
2001-02,25,SAS,NBA,PF,9,380,31.8,.550,.017,.558,8.5,31.2,19.8,25.2,0.9,7.5,14.1,33.5,,1.1,0.8,2.0,.247,,3.9,6.5,10.4,1.2
2002-03,26,SAS,NBA,PF,24,1021,28.4,.577,.017,.563,10.7,28.3,19.8,25.5,0.8,5.8,12.9,26.4,,3.3,2.7,5.9,.279,,6.3,5.4,11.6,3.5
2003-04,27,SAS,NBA,PF,10,405,24.1,.560,.006,.547,9.3,24.6,16.7,16.0,1.1,4.1,17.6,27.7,,1.0,0.6,1.5,.183,,1.8,3.9,5.7,0.8
2004-05,28,SAS,NBA,PF,23,869,24.9,.526,.012,.482,12.2,26.6,19.6,14.8,0.5,4.3,10.7,31.1,,1.9,1.6,3.5,.191,,1.4,2.7,4.1,1.3
2005-06,29,SAS,NBA,PF,13,493,30.4,.625,.009,.621,9.1,25.4,17.8,17.6,1.2,3.8,11.2,29.9,,2.0,0.6,2.6,.252,,4.1,3.3,7.5,1.2
2006-07,30,SAS,NBA,C,20,736,27.4,.556,.000,.446,12.0,24.5,18.4,17.7,1.0,6.3,12.9,29.5,,1.9,1.4,3.3,.214,,2.5,4.8,7.2,1.7
2007-08,31,SAS,NBA,C,17,666,21.9,.488,.017,.382,10.6,32.1,21.4,15.9,1.2,3.8,10.4,28.2,,0.3,1.4,1.7,.123,,-1.0,4.7,3.7,1.0
2008-09,32,SAS,NBA,C,5,164,27.3,.554,.000,.364,8.5,21.8,14.8,20.4,1.0,3.3,7.3,29.2,,0.5,0.1,0.6,.171,,2.1,2.6,4.7,0.3
2009-10,33,SAS,NBA,C,10,373,19.7,.527,.013,.460,9.2,21.1,15.1,12.7,1.1,3.7,11.7,25.6,,0.2,0.5,0.7,.091,,-0.9,2.8,1.9,0.4
2010-11,34,SAS,NBA,C,6,212,15.5,.500,.000,.232,8.6,26.4,17.3,14.1,0.7,5.1,19.1,20.8,,-0.1,0.3,0.2,.053,,-3.6,4.3,0.8,0.1
2011-12,35,SAS,NBA,C,14,463,22.9,.529,.005,.284,8.4,24.0,16.5,14.7,1.1,4.5,8.4,25.2,,1.1,0.7,1.8,.184,,0.7,3.8,4.5,0.8
2012-13,36,SAS,NBA,C,21,735,21.3,.523,.003,.305,8.7,24.2,16.7,9.6,1.3,3.5,10.3,26.1,,1.1,1.4,2.5,.161,,-0.1,2.2,2.1,0.7
2013-14,37,SAS,NBA,C,23,752,21.1,.568,.007,.351,10.4,22.2,16.4,9.6,0.5,3.1,7.3,21.9,,2.0,1.2,3.2,.204,,2.0,2.4,4.4,1.2
2014-15,38,SAS,NBA,C,7,250,24.2,.595,.011,.378,7.9,26.0,16.6,16.0,1.8,3.1,6.3,20.1,,0.8,0.4,1.2,.229,,2.6,5.1,7.7,0.6
2015-16,39,SAS,NBA,C,10,218,11.6,.482,.000,.404,5.6,19.0,12.7,9.1,0.5,4.7,14.0,15.2,,0.0,0.4,0.4,.083,,-2.1,3.0,1.0,0.2
