Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1997-98,21,SAS,NBA,PF,9,9,374,73,140,.521,0,1,.000,73,139,.525,.521,40,60,.667,20,61,81,17,5,23,25,24,186
1998-99,22,SAS,NBA,PF,17,17,733,144,282,.511,0,3,.000,144,279,.516,.511,107,143,.748,55,140,195,48,13,45,52,50,395
2000-01,24,SAS,NBA,PF,13,13,526,120,246,.488,1,1,1.000,119,245,.486,.490,76,119,.639,54,134,188,49,14,35,50,43,317
2001-02,25,SAS,NBA,PF,9,9,380,82,181,.453,1,3,.333,81,178,.455,.456,83,101,.822,28,102,130,45,6,39,37,22,248
2002-03,26,SAS,NBA,PF,24,24,1021,218,412,.529,0,7,.000,218,405,.538,.529,157,232,.677,96,273,369,127,15,79,76,78,593
2003-04,27,SAS,NBA,PF,10,10,405,83,159,.522,0,1,.000,83,158,.525,.522,55,87,.632,33,80,113,32,8,20,42,34,221
2004-05,28,SAS,NBA,PF,23,23,869,197,425,.464,1,5,.200,196,420,.467,.465,147,205,.717,87,199,286,63,8,52,62,66,542
2005-06,29,SAS,NBA,PF,13,13,493,121,211,.573,0,2,.000,121,209,.579,.573,94,131,.718,33,104,137,43,11,25,34,50,336
2006-07,30,SAS,NBA,C,20,20,736,174,334,.521,0,0,,174,334,.521,.521,96,149,.644,73,156,229,65,13,62,59,59,444
2007-08,31,SAS,NBA,C,17,17,666,135,301,.449,1,5,.200,134,296,.453,.450,72,115,.626,61,186,247,56,15,35,41,41,343
2008-09,32,SAS,NBA,C,5,5,164,41,77,.532,0,0,,41,77,.532,.532,17,28,.607,12,28,40,16,3,6,7,11,99
2009-10,33,SAS,NBA,C,10,10,373,78,150,.520,1,2,.500,77,148,.520,.523,33,69,.478,30,69,99,26,8,17,24,27,190
2010-11,34,SAS,NBA,C,6,6,212,33,69,.478,0,0,,33,69,.478,.478,10,16,.625,16,47,63,16,3,15,18,17,76
2011-12,35,SAS,NBA,C,14,14,463,101,204,.495,0,1,.000,101,203,.498,.495,41,58,.707,32,99,131,39,10,29,21,30,243
2012-13,36,SAS,NBA,C,21,21,735,151,321,.470,0,1,.000,151,320,.472,.470,79,98,.806,54,160,214,40,18,34,42,53,381
2013-14,37,SAS,NBA,C,23,23,752,149,285,.523,0,2,.000,149,283,.527,.523,76,100,.760,65,146,211,45,7,29,26,52,374
2014-15,38,SAS,NBA,C,7,7,250,53,90,.589,0,1,.000,53,89,.596,.589,19,34,.559,19,59,78,23,9,10,7,26,125
2015-16,39,SAS,NBA,C,10,10,218,22,52,.423,0,0,,22,52,.423,.423,15,21,.714,10,38,48,14,2,13,10,18,59
