Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,18,LAL,NBA,SG,9,0,133,21,55,.382,6,23,.261,15,32,.469,.436,26,30,.867,1,10,11,11,3,2,14,23,74
1997-98,19,LAL,NBA,SG,11,0,220,31,76,.408,3,14,.214,28,62,.452,.428,31,45,.689,7,14,21,16,3,8,11,28,96
1998-99,20,LAL,NBA,SG,8,8,315,61,142,.430,8,23,.348,53,119,.445,.458,28,35,.800,13,42,55,37,15,10,31,24,158
1999-00,21,LAL,NBA,SG,22,22,857,174,394,.442,22,64,.344,152,330,.461,.470,95,126,.754,26,72,98,97,32,32,55,89,465
2000-01,22,LAL,NBA,SG,16,16,694,168,358,.469,11,34,.324,157,324,.485,.485,124,151,.821,29,87,116,97,25,12,51,53,471
2001-02,23,LAL,NBA,SG,19,19,833,187,431,.434,22,58,.379,165,373,.442,.459,110,145,.759,28,83,111,87,27,17,54,65,506
2002-03,24,LAL,NBA,SG,12,12,531,137,317,.432,25,62,.403,112,255,.439,.472,86,104,.827,16,45,61,62,14,1,42,35,385
2003-04,25,LAL,NBA,SG,22,22,973,190,460,.413,24,97,.247,166,363,.457,.439,135,166,.813,18,86,104,121,42,7,61,59,539
2005-06,27,LAL,NBA,SG,7,7,314,72,145,.497,14,35,.400,58,110,.527,.545,37,48,.771,4,40,44,36,8,3,33,25,195
2006-07,28,LAL,NBA,SG,5,5,215,60,130,.462,10,28,.357,50,102,.490,.500,34,37,.919,1,25,26,22,5,2,22,10,164
2007-08,29,LAL,NBA,SG,21,21,863,222,463,.479,32,106,.302,190,357,.532,.514,157,194,.809,18,101,119,117,35,8,70,59,633
2008-09,30,LAL,NBA,SG,23,23,940,242,530,.457,37,106,.349,205,424,.483,.492,174,197,.883,19,104,123,126,38,21,59,59,695
2009-10,31,LAL,NBA,SG,23,23,923,234,511,.458,49,131,.374,185,380,.487,.506,154,183,.842,26,112,138,126,31,16,79,75,671
2010-11,32,LAL,NBA,SG,10,10,354,83,186,.446,12,41,.293,71,145,.490,.478,50,61,.820,8,26,34,33,16,3,31,23,228
2011-12,33,LAL,NBA,SG,12,12,476,132,301,.439,17,60,.283,115,241,.477,.467,79,95,.832,16,42,58,52,16,2,34,33,360
