Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,21,CLE,NBA,SF,13,13,604,146,307,.476,21,63,.333,125,244,.512,.510,87,118,.737,22,83,105,76,18,9,65,44,400
2006-07,22,CLE,NBA,SF,20,20,893,166,399,.416,21,75,.280,145,324,.448,.442,148,196,.755,26,135,161,159,34,10,66,40,501
2007-08,23,CLE,NBA,SF,13,13,552,113,275,.411,18,70,.257,95,205,.463,.444,122,167,.731,16,86,102,99,23,17,54,33,366
2008-09,24,CLE,NBA,SF,14,14,580,159,312,.510,27,81,.333,132,231,.571,.553,149,199,.749,19,109,128,102,23,12,38,30,494
2009-10,25,CLE,NBA,SF,11,11,460,106,211,.502,20,50,.400,86,161,.534,.550,88,120,.733,15,87,102,84,19,20,42,23,320
2010-11,26,MIA,NBA,SF,21,21,922,174,373,.466,30,85,.353,144,288,.500,.507,119,156,.763,34,142,176,123,35,25,66,56,497
2011-12,27,MIA,NBA,SF,23,23,983,251,502,.500,22,85,.259,229,417,.549,.522,173,234,.739,54,170,224,129,43,16,81,47,697
2012-13,28,MIA,NBA,PF,23,23,960,212,432,.491,36,96,.375,176,336,.524,.532,136,175,.777,37,156,193,152,41,18,70,43,596
2013-14,29,MIA,NBA,PF,20,20,763,192,340,.565,35,86,.407,157,254,.618,.616,129,160,.806,14,127,141,95,36,11,61,46,548
2014-15,30,CLE,NBA,SF,20,20,844,227,544,.417,25,110,.227,202,434,.465,.440,122,167,.731,37,189,226,169,33,21,82,58,601
2015-16,31,CLE,NBA,SF,21,21,822,219,417,.525,32,94,.340,187,323,.579,.564,82,124,.661,42,158,200,160,49,27,75,54,552
2016-17,32,CLE,NBA,SF,18,18,744,217,384,.565,44,107,.411,173,277,.625,.622,113,162,.698,19,145,164,141,35,23,72,43,591
2017-18,33,CLE,NBA,PF,11,11,455,140,253,.553,15,52,.288,125,201,.622,.583,82,110,.745,16,87,103,99,17,11,34,23,377
Career,,,NBA,,228,228,9582,2322,4749,.489,346,1054,.328,1976,3695,.535,.525,1550,2088,.742,351,1674,2025,1588,406,220,806,540,6540
