Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1979-80,20,LAL,NBA,SG,16,658,22.1,.596,.040,.533,8.6,18.6,13.7,29.8,3.5,0.5,20.9,18.6,,1.7,1.1,2.8,.203,,4.7,3.9,8.6,1.8
1980-81,21,LAL,NBA,SG,3,127,17.0,.441,.000,.408,6.7,22.7,15.4,24.7,3.1,1.2,16.0,22.8,,0.0,0.3,0.2,.082,,-0.8,4.2,3.4,0.2
1981-82,22,LAL,NBA,SG,14,562,22.5,.614,.025,.592,10.8,18.6,14.9,27.7,3.3,0.3,18.2,16.9,,1.9,0.8,2.7,.231,,5.5,3.9,9.4,1.6
1982-83,23,LAL,NBA,SG,15,643,20.6,.555,.053,.393,8.9,12.9,11.0,38.6,2.5,1.0,20.9,19.4,,1.5,0.6,2.1,.156,,3.5,2.6,6.1,1.3
1983-84,24,LAL,NBA,PG,21,837,22.8,.601,.026,.365,3.7,14.2,9.3,42.7,2.4,1.3,19.9,19.7,,2.4,1.1,3.5,.198,,4.6,2.1,6.6,1.8
1984-85,25,LAL,NBA,PG,19,687,22.3,.599,.031,.522,3.3,16.8,10.7,48.0,2.1,0.3,21.5,20.0,,2.0,1.0,3.0,.210,,4.5,1.2,5.8,1.4
1985-86,26,LAL,NBA,PG,14,541,25.6,.599,.054,.522,4.9,16.5,11.1,49.7,2.4,0.1,15.1,22.8,,2.2,0.8,3.0,.267,,7.4,1.5,8.9,1.5
1986-87,27,LAL,NBA,PG,18,666,26.2,.607,.037,.435,5.2,17.0,11.7,46.1,2.2,0.6,13.6,23.1,,2.6,1.1,3.7,.265,,7.8,1.9,9.7,2.0
1987-88,28,LAL,NBA,PG,24,965,22.9,.600,.043,.471,4.1,11.5,8.0,46.5,1.8,0.2,17.3,22.1,,3.2,0.8,4.0,.198,,4.9,0.6,5.5,1.8
1988-89,29,LAL,NBA,PG,14,518,23.4,.609,.201,.494,3.6,14.1,9.2,47.6,2.6,0.3,20.0,22.2,,1.5,0.6,2.2,.200,,5.4,2.1,7.5,1.2
1989-90,30,LAL,NBA,PG,9,376,25.0,.598,.161,.510,4.0,13.7,9.0,47.9,1.5,0.2,15.9,26.4,,1.4,0.3,1.7,.222,,6.9,0.9,7.8,0.9
1990-91,31,LAL,NBA,PG,19,823,22.7,.598,.265,.664,3.5,19.1,11.4,45.1,1.5,0.0,18.2,23.3,,2.4,0.9,3.3,.193,,5.5,2.6,8.1,2.1
1995-96,36,LAL,NBA,PF,4,135,19.0,.570,.231,.846,6.6,23.0,14.5,31.7,0.0,0.0,18.3,21.5,,0.3,0.1,0.5,.167,,2.6,1.2,3.7,0.2
