Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1979-80,20,LAL,NBA,SG,16,,658,103,199,.518,2,8,.250,101,191,.529,.523,85,106,.802,52,116,168,151,49,6,65,47,293
1980-81,21,LAL,NBA,SG,3,,127,19,49,.388,0,0,,19,49,.388,.388,13,20,.650,8,33,41,21,8,3,11,14,51
1981-82,22,LAL,NBA,SG,14,,562,83,157,.529,0,4,.000,83,153,.542,.529,77,93,.828,54,104,158,130,40,3,44,50,243
1982-83,23,LAL,NBA,SG,15,,643,100,206,.485,0,11,.000,100,195,.513,.485,68,81,.840,51,77,128,192,34,12,64,49,268
1983-84,24,LAL,NBA,PG,21,,837,151,274,.551,0,7,.000,151,267,.566,.551,80,100,.800,26,113,139,284,42,20,79,71,382
1984-85,25,LAL,NBA,PG,19,19,687,116,226,.513,1,7,.143,115,219,.525,.515,100,118,.847,19,115,134,289,32,4,76,48,333
1985-86,26,LAL,NBA,PG,14,14,541,110,205,.537,0,11,.000,110,194,.567,.537,82,107,.766,21,79,100,211,27,1,45,43,302
1986-87,27,LAL,NBA,PG,18,18,666,146,271,.539,2,10,.200,144,261,.552,.542,98,118,.831,28,111,139,219,31,7,51,37,392
1987-88,28,LAL,NBA,PG,24,24,965,169,329,.514,7,14,.500,162,315,.514,.524,132,155,.852,32,98,130,303,34,4,83,61,477
1988-89,29,LAL,NBA,PG,14,14,518,85,174,.489,10,35,.286,75,139,.540,.517,78,86,.907,15,68,83,165,27,3,53,30,258
1989-90,30,LAL,NBA,PG,9,9,376,76,155,.490,5,25,.200,71,130,.546,.506,70,79,.886,12,45,57,115,11,1,36,28,227
1990-91,31,LAL,NBA,PG,19,19,823,118,268,.440,21,71,.296,97,197,.492,.479,157,178,.882,23,131,154,240,23,0,77,43,414
1995-96,36,LAL,NBA,PF,4,0,135,15,39,.385,3,9,.333,12,30,.400,.423,28,33,.848,8,26,34,26,0,0,12,3,61
