Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002-03,25,SAS,NBA,SG,24,0,660,71,184,0.386,28,73,0.384,43,111,0.387,0.462,56,74,0.757,29,63,92,70,41,9,36,62,226
2003-04,26,SAS,NBA,SG,10,0,280,42,94,0.447,10,35,0.286,32,59,0.542,0.5,36,44,0.818,15,38,53,31,17,1,21,30,130
2004-05,27,SAS,NBA,SG,23,15,772,145,286,0.507,42,96,0.438,103,190,0.542,0.58,147,185,0.795,19,114,133,97,28,6,66,69,479
2005-06,28,SAS,NBA,SG,13,11,426,76,157,0.484,14,42,0.333,62,115,0.539,0.529,73,87,0.839,9,50,59,39,19,7,33,43,239
2006-07,29,SAS,NBA,SG,20,0,602,99,247,0.401,38,99,0.384,61,148,0.412,0.478,97,116,0.836,16,93,109,74,33,4,42,61,333
2007-08,30,SAS,NBA,SG,17,6,559,98,232,0.422,38,102,0.373,60,130,0.462,0.504,69,77,0.896,14,50,64,67,10,5,47,47,303
2009-10,32,SAS,NBA,SG,10,10,352,58,140,0.414,20,60,0.333,38,80,0.475,0.486,58,67,0.866,4,33,37,60,26,2,30,30,194
2010-11,33,SAS,NBA,SG,5,5,174,31,70,0.443,9,28,0.321,22,42,0.524,0.507,32,41,0.78,2,18,20,21,13,3,17,13,103
2011-12,34,SAS,NBA,SG,14,2,390,65,145,0.448,23,68,0.338,42,77,0.545,0.528,48,56,0.857,8,41,49,56,10,4,42,36,201
2012-13,35,SAS,NBA,SG,21,3,560,77,193,0.399,29,96,0.302,48,97,0.495,0.474,59,80,0.738,9,69,78,105,24,6,55,52,242
2013-14,36,SAS,NBA,SG,23,0,586,104,237,0.439,41,105,0.39,63,132,0.477,0.525,81,94,0.862,9,66,75,95,36,2,52,60,330
2014-15,37,SAS,NBA,SG,7,0,131,15,43,0.349,8,22,0.364,7,21,0.333,0.442,18,23,0.783,4,20,24,32,4,6,14,19,56
2015-16,38,SAS,NBA,SG,10,0,192,20,47,0.426,9,21,0.429,11,26,0.423,0.521,18,23,0.783,6,21,27,25,8,3,7,25,67
2016-17,39,SAS,NBA,SG,16,1,284,40,97,0.412,9,40,0.225,31,57,0.544,0.459,17,23,0.739,10,29,39,39,16,2,12,28,106
2017-18,40,SAS,NBA,SG,5,0,107,15,37,0.405,6,18,0.333,9,19,0.474,0.486,9,11,0.818,1,14,15,16,7,1,7,13,45
