Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1984-85,21,CHI,NBA,SG,4,4,171,34,78,.436,1,8,.125,33,70,.471,.442,48,58,.828,7,16,23,34,11,4,15,15,117
1985-86,22,CHI,NBA,SG,3,3,135,48,95,.505,1,1,1.000,47,94,.500,.511,34,39,.872,5,14,19,17,7,4,14,13,131
1986-87,23,CHI,NBA,SG,3,3,128,35,84,.417,2,5,.400,33,79,.418,.429,35,39,.897,7,14,21,18,6,7,8,11,107
1987-88,24,CHI,NBA,SG,10,10,427,138,260,.531,1,3,.333,137,257,.533,.533,86,99,.869,23,48,71,47,24,11,39,38,363
1988-89,25,CHI,NBA,SG,17,17,718,199,390,.510,10,35,.286,189,355,.532,.523,183,229,.799,26,93,119,130,42,13,68,65,591
1989-90,26,CHI,NBA,SG,16,16,674,219,426,.514,16,50,.320,203,376,.540,.533,133,159,.836,24,91,115,109,45,14,56,54,587
1990-91,27,CHI,NBA,SG,17,17,689,197,376,.524,10,26,.385,187,350,.534,.537,125,148,.845,18,90,108,142,40,23,43,53,529
1991-92,28,CHI,NBA,SG,22,22,920,290,581,.499,17,44,.386,273,537,.508,.514,162,189,.857,37,100,137,127,44,16,81,62,759
1992-93,29,CHI,NBA,SG,19,19,783,251,528,.475,28,72,.389,223,456,.489,.502,136,169,.805,32,96,128,114,39,17,45,58,666
1994-95,31,CHI,NBA,SG,10,10,420,120,248,.484,11,30,.367,109,218,.500,.506,64,79,.810,20,45,65,45,23,14,41,30,315
1995-96,32,CHI,NBA,SG,18,18,733,187,407,.459,25,62,.403,162,345,.470,.490,153,187,.818,31,58,89,74,33,6,42,49,552
1996-97,33,CHI,NBA,SG,19,19,804,227,498,.456,13,67,.194,214,431,.497,.469,123,148,.831,42,108,150,91,30,17,49,46,590
1997-98,34,CHI,NBA,SG,21,21,872,243,526,.462,13,43,.302,230,483,.476,.474,181,223,.812,33,74,107,74,32,12,45,47,680
