Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1996-97,22,PHO,NBA,PG,4,15,-5.1,.278,.444,.000,7.7,0.0,3.8,11.7,3.4,5.4,18.2,32.4,,-0.1,0.0,-0.1,-0.381,,-12.7,2.4,-10.4,0.0
1997-98,23,PHO,NBA,PG,4,51,16.5,.511,.278,.444,4.1,19.4,11.1,22.4,2.1,0.0,12.2,21.9,,0.1,0.0,0.1,.081,,0.2,1.9,2.1,0.1
2000-01,26,DAL,NBA,PG,10,370,15.1,.553,.361,.315,1.7,8.2,4.8,31.5,0.9,0.2,16.9,18.5,,0.6,0.0,0.6,.082,,1.2,0.1,1.3,0.3
2001-02,27,DAL,NBA,PG,8,323,18.7,.585,.381,.297,2.3,8.2,5.3,32.9,0.6,0.0,18.4,22.0,,0.9,-0.2,0.7,.110,,2.5,0.1,2.5,0.4
2002-03,28,DAL,NBA,PG,20,729,18.1,.565,.296,.245,2.2,8.3,5.3,31.1,1.2,0.1,15.2,20.7,,1.8,-0.1,1.7,.113,,1.8,-0.2,1.6,0.7
2003-04,29,DAL,NBA,PG,5,197,15.5,.460,.229,.129,2.6,11.0,6.3,34.7,1.0,0.0,14.0,17.4,,0.4,0.0,0.4,.092,,1.1,-0.4,0.7,0.1
2004-05,30,PHO,NBA,PG,15,610,23.4,.604,.201,.230,1.7,11.0,6.6,43.9,1.2,0.3,19.1,26.6,,2.1,0.0,2.1,.164,,4.0,0.6,4.6,1.0
2005-06,31,PHO,NBA,PG,20,798,21.3,.615,.299,.313,1.4,9.4,5.5,40.3,0.5,0.4,16.8,23.5,,2.5,0.1,2.6,.153,,3.3,-0.7,2.7,0.9
2006-07,32,PHO,NBA,PG,11,413,21.9,.577,.244,.288,1.2,8.3,4.9,55.8,0.5,0.2,21.0,24.9,,1.3,0.1,1.4,.165,,4.4,-1.8,2.5,0.5
2007-08,33,PHO,NBA,PG,5,183,16.8,.538,.286,.171,0.6,8.4,4.5,36.4,0.6,0.4,13.7,22.0,,0.3,0.1,0.4,.103,,2.5,-0.3,2.2,0.2
2009-10,35,PHO,NBA,PG,16,539,22.4,.634,.262,.393,1.4,10.1,5.8,49.1,0.4,0.1,21.1,24.2,,2.0,0.0,2.0,.175,,4.3,-0.9,3.4,0.7
2012-13,38,LAL,NBA,PG,2,61,14.5,.496,.130,.217,3.7,5.9,4.8,26.6,0.0,0.0,10.6,21.6,,0.1,0.0,0.0,.014,,-2.4,-0.9,-3.3,0.0
