Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,22,PHO,NBA,PG,4,0,15,2,9,.222,1,4,.250,1,5,.200,.278,0,0,,1,0,1,1,1,1,2,5,5
1997-98,23,PHO,NBA,PG,4,1,51,8,18,.444,1,5,.200,7,13,.538,.472,5,8,.625,2,8,10,7,2,0,3,7,22
2000-01,26,DAL,NBA,PG,10,10,370,45,108,.417,16,39,.410,29,69,.420,.491,30,34,.882,6,26,32,64,6,1,25,19,136
2001-02,27,DAL,NBA,PG,8,8,323,51,118,.432,20,45,.444,31,73,.425,.517,34,35,.971,7,25,32,70,4,0,30,20,156
2002-03,28,DAL,NBA,PG,20,20,729,115,257,.447,37,76,.487,78,181,.431,.519,55,63,.873,15,55,70,145,17,1,51,47,322
2003-04,29,DAL,NBA,PG,5,5,197,27,70,.386,6,16,.375,21,54,.389,.429,8,9,.889,6,20,26,45,4,0,12,14,68
2004-05,30,PHO,NBA,PG,15,15,610,140,269,.520,21,54,.389,119,215,.553,.559,57,62,.919,9,63,72,170,14,3,70,36,358
2005-06,31,PHO,NBA,PG,20,20,798,146,291,.502,32,87,.368,114,204,.559,.557,83,91,.912,9,64,73,204,8,5,67,38,407
2006-07,32,PHO,NBA,PG,11,11,413,74,160,.463,19,39,.487,55,121,.455,.522,41,46,.891,4,31,35,146,4,1,48,21,208
2007-08,33,PHO,NBA,PG,5,5,183,32,70,.457,6,20,.300,26,50,.520,.500,11,12,.917,1,13,14,39,2,1,12,10,81
2009-10,35,PHO,NBA,PG,16,16,539,99,191,.518,19,50,.380,80,141,.567,.568,67,75,.893,6,46,52,161,4,1,60,20,284
2012-13,38,LAL,NBA,PG,2,2,61,10,23,.435,0,3,.000,10,20,.500,.435,5,5,1.000,2,3,5,9,0,0,3,2,25
