,2P,2P%,2PA,3P,3P%,3PA,3PAr,AST,AST%,Age,BLK,BLK%,BPM,DBPM,DRB,DRB%,DWS,FG,FG%,FGA,FT,FT%,FTA,FTr,G,GS,MP,OBPM,ORB,ORB%,OWS,PER,PF,PTS,Player,Pos,STL,STL%,Season,TOV,TOV%,TRB,TRB%,TS%,Tm,USG%,VORP,WS,WS/48,Year,eFG%,playoffs,made_playoffs
2,748.0,0.518,1444.0,127.0,0.335,379.0,0.20800000000000002,521.0,32.8,21.0,66.0,1.5,9.3,1.4,481.0,17.1,4.3,875.0,0.48,1823.0,601.0,0.738,814.0,0.447,79.0,79.0,3361.0,7.9,75.0,2.6,12.0,28.1,181.0,2478.0,LeBron James,SF,123.0,2.0,2005-06,260.0,10.7,556.0,9.8,0.568,CLE,33.6,9.5,16.3,0.23199999999999998,2006.0,0.515,False,True
3,673.0,0.513,1311.0,99.0,0.319,310.0,0.191,470.0,29.1,22.0,55.0,1.3,7.4,2.0,443.0,16.6,5.7,772.0,0.47600000000000003,1621.0,489.0,0.698,701.0,0.43200000000000005,78.0,78.0,3190.0,5.4,83.0,3.0,8.0,24.5,171.0,2132.0,LeBron James,SF,125.0,2.1,2006-07,250.0,11.5,526.0,9.6,0.552,CLE,31.0,7.6,13.7,0.20600000000000002,2007.0,0.507,False,True
4,681.0,0.531,1283.0,113.0,0.315,359.0,0.21899999999999997,539.0,37.3,23.0,81.0,2.1,11.2,2.3,459.0,17.8,4.6,794.0,0.484,1642.0,549.0,0.7120000000000001,771.0,0.47,75.0,74.0,3027.0,9.0,133.0,4.9,10.7,29.1,165.0,2250.0,LeBron James,SF,138.0,2.4,2007-08,255.0,11.4,592.0,11.1,0.568,CLE,33.5,10.1,15.2,0.242,2008.0,0.518,False,True
5,657.0,0.535,1229.0,132.0,0.344,384.0,0.23800000000000002,587.0,38.0,24.0,93.0,2.4,13.0,3.6,507.0,19.0,6.5,789.0,0.489,1613.0,594.0,0.78,762.0,0.47200000000000003,81.0,81.0,3054.0,9.4,106.0,4.3,13.7,31.7,139.0,2304.0,LeBron James,SF,137.0,2.4,2008-09,241.0,11.0,613.0,11.9,0.591,CLE,33.8,11.6,20.3,0.318,2009.0,0.53,False,True
6,639.0,0.56,1141.0,129.0,0.33299999999999996,387.0,0.253,651.0,41.8,25.0,77.0,2.0,12.5,2.8,483.0,18.5,5.2,768.0,0.503,1528.0,593.0,0.767,773.0,0.506,76.0,76.0,2966.0,9.7,71.0,3.0,13.3,31.1,119.0,2258.0,LeBron James,SF,125.0,2.2,2009-10,261.0,12.3,554.0,11.1,0.604,CLE,33.5,10.9,18.5,0.299,2010.0,0.545,False,True
7,666.0,0.552,1206.0,92.0,0.33,279.0,0.188,554.0,34.9,26.0,50.0,1.3,8.6,2.1,510.0,18.7,5.3,758.0,0.51,1485.0,503.0,0.759,663.0,0.446,79.0,79.0,3063.0,6.5,80.0,3.3,10.3,27.3,163.0,2111.0,LeBron James,SF,124.0,2.1,2010-11,284.0,13.8,590.0,11.4,0.594,MIA,31.5,8.2,15.6,0.244,2011.0,0.541,False,True
8,567.0,0.556,1020.0,54.0,0.36200000000000004,149.0,0.127,387.0,33.6,27.0,50.0,1.7,11.0,2.7,398.0,19.7,4.5,621.0,0.531,1169.0,387.0,0.7709999999999999,502.0,0.429,62.0,62.0,2326.0,8.3,94.0,5.0,10.0,30.7,96.0,1683.0,LeBron James,SF,115.0,2.6,2011-12,213.0,13.3,492.0,12.6,0.605,MIA,32.0,7.6,14.5,0.298,2012.0,0.5539999999999999,False,True
9,662.0,0.602,1100.0,103.0,0.406,254.0,0.188,551.0,36.4,28.0,67.0,1.9,11.6,2.4,513.0,20.8,4.7,765.0,0.565,1354.0,403.0,0.753,535.0,0.395,76.0,76.0,2877.0,9.2,97.0,4.4,14.6,31.6,110.0,2036.0,LeBron James,PF,129.0,2.4,2012-13,226.0,12.4,610.0,13.1,0.64,MIA,30.2,9.8,19.3,0.322,2013.0,0.603,False,True
10,651.0,0.622,1047.0,116.0,0.379,306.0,0.226,488.0,32.0,29.0,26.0,0.8,8.9,0.9,452.0,18.9,3.7,767.0,0.5670000000000001,1353.0,439.0,0.75,585.0,0.43200000000000005,77.0,77.0,2902.0,8.0,81.0,3.6,12.3,29.3,126.0,2089.0,LeBron James,PF,121.0,2.2,2013-14,270.0,14.4,533.0,11.5,0.649,MIA,31.0,8.0,15.9,0.264,2014.0,0.61,False,True
11,504.0,0.536,940.0,120.0,0.354,339.0,0.265,511.0,38.6,30.0,49.0,1.6,7.4,1.2,365.0,16.6,2.9,624.0,0.488,1279.0,375.0,0.71,528.0,0.413,69.0,69.0,2493.0,6.2,51.0,2.4,7.4,25.9,135.0,1743.0,LeBron James,SF,109.0,2.3,2014-15,272.0,15.3,416.0,9.6,0.5770000000000001,CLE,32.3,5.9,10.4,0.19899999999999998,2015.0,0.535,False,True
