Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1993-94,21,ORL,NBA,C,3,126,20.1,.517,.000,.756,15.9,22.5,19.1,11.3,0.9,5.1,14.3,24.5,,0.2,0.1,0.3,.103,,-0.8,3.2,2.4,0.1
1994-95,22,ORL,NBA,C,21,805,26.1,.595,.000,.772,14.0,22.6,18.4,16.4,1.2,3.8,13.9,30.1,,2.0,1.0,3.0,.180,,2.3,2.8,5.1,1.5
1995-96,23,ORL,NBA,C,12,459,27.4,.575,.000,.565,13.5,19.5,16.5,23.6,1.1,2.8,14.0,32.3,,1.3,0.2,1.5,.156,,3.6,3.4,7.0,1.0
1996-97,24,LAL,NBA,C,9,326,29.0,.552,.000,.607,14.6,21.3,18.0,22.8,0.9,4.4,9.1,35.6,,1.0,0.4,1.5,.215,,5.2,3.4,8.6,0.9
1997-98,25,LAL,NBA,C,13,501,31.0,.604,.000,.616,11.4,20.6,15.9,17.8,0.8,5.1,11.6,34.3,,1.8,0.3,2.1,.200,,4.5,2.6,7.1,1.2
1998-99,26,LAL,NBA,C,8,315,28.8,.515,.000,.761,15.1,19.0,16.9,11.8,1.2,5.8,8.0,32.4,,0.9,0.2,1.2,.176,,2.5,2.8,5.4,0.6
1999-00,27,LAL,NBA,C,23,1000,30.5,.556,.000,.586,13.3,27.8,20.4,14.5,0.7,4.3,8.1,31.3,,3.6,1.1,4.7,.224,,4.5,2.8,7.2,2.3
2000-01,28,LAL,NBA,C,16,676,28.7,.564,.000,.581,15.0,24.4,19.8,14.8,0.5,4.1,11.7,32.0,,2.3,1.4,3.7,.260,,5.7,1.5,7.2,1.6
2001-02,29,LAL,NBA,C,19,776,28.3,.569,.000,.542,9.9,23.5,17.0,14.5,0.7,4.4,11.5,31.4,,2.6,1.2,3.8,.236,,3.6,2.6,6.2,1.6
2002-03,30,LAL,NBA,C,12,481,30.6,.570,.000,.584,14.3,28.5,21.1,17.6,0.8,5.1,11.0,29.6,,1.8,0.6,2.4,.240,,4.0,3.9,8.0,1.2
2003-04,31,LAL,NBA,C,22,917,24.8,.565,.000,.827,11.5,25.4,18.5,12.4,0.4,5.4,11.6,25.2,,2.6,1.3,3.9,.202,,2.4,4.0,6.4,1.9
2004-05,32,MIA,NBA,C,13,431,18.1,.554,.000,.586,5.9,20.6,14.0,11.5,0.6,3.3,15.6,30.0,,0.0,0.8,0.8,.089,,-1.5,1.2,-0.2,0.2
2005-06,33,MIA,NBA,C,23,759,19.9,.571,.000,.625,12.3,22.4,17.6,10.5,0.8,3.7,18.6,28.5,,0.1,1.5,1.6,.103,,-0.1,1.9,1.8,0.7
2006-07,34,MIA,NBA,C,4,121,19.9,.529,.000,.458,15.6,18.8,17.1,9.8,0.4,3.9,16.5,33.2,,-0.1,0.1,0.0,.008,,-2.3,0.6,-1.7,0.0
2007-08,35,PHO,NBA,C,5,150,18.9,.486,.000,1.280,10.1,26.1,18.0,5.4,1.7,5.9,10.3,26.9,,0.0,0.3,0.3,.102,,-3.3,4.4,1.1,0.1
2009-10,37,CLE,NBA,C,11,243,16.2,.559,.000,.505,10.6,19.2,15.0,11.7,0.4,3.8,17.4,26.4,,0.1,0.3,0.4,.082,,-2.3,0.8,-1.6,0.0
2010-11,38,BOS,NBA,C,2,12,1.3,.347,.000,1.000,0.0,0.0,0.0,12.8,4.5,0.0,0.0,11.5,,0.0,0.0,0.0,.018,,-4.8,-0.6,-5.4,0.0
