Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1993-94,21,ORL,NBA,C,3,3,126,23,45,.511,0,0,,23,45,.511,.511,16,34,.471,17,23,40,7,2,9,10,13,62
1994-95,22,ORL,NBA,C,21,21,805,195,338,.577,0,0,,195,338,.577,.577,149,261,.571,95,155,250,70,18,40,73,84,539
1995-96,23,ORL,NBA,C,12,12,459,131,216,.606,0,0,,131,216,.606,.606,48,122,.393,49,71,120,55,9,15,44,40,310
1996-97,24,LAL,NBA,C,9,9,326,89,173,.514,0,0,,89,173,.514,.514,64,105,.610,38,57,95,29,5,17,22,37,242
1997-98,25,LAL,NBA,C,13,13,501,158,258,.612,0,0,,158,258,.612,.612,80,159,.503,48,84,132,38,7,34,43,41,396
1998-99,26,LAL,NBA,C,8,8,315,79,155,.510,0,0,,79,155,.510,.510,55,118,.466,44,49,93,18,7,23,18,29,213
1999-00,27,LAL,NBA,C,23,23,1000,286,505,.566,0,0,,286,505,.566,.566,135,296,.456,119,236,355,71,13,55,56,67,707
2000-01,28,LAL,NBA,C,16,16,676,191,344,.555,0,0,,191,344,.555,.555,105,200,.525,91,156,247,51,7,38,57,55,487
2001-02,29,LAL,NBA,C,19,19,776,203,384,.529,0,0,,203,384,.529,.529,135,208,.649,67,172,239,54,10,48,62,62,541
2002-03,30,LAL,NBA,C,12,12,481,121,226,.535,0,0,,121,226,.535,.535,82,132,.621,63,115,178,44,7,34,35,34,324
2003-04,31,LAL,NBA,C,22,22,917,182,307,.593,0,0,,182,307,.593,.593,109,254,.429,91,200,291,55,7,61,55,90,473
2004-05,32,MIA,NBA,C,13,13,431,101,181,.558,0,0,,101,181,.558,.558,50,106,.472,19,83,102,25,5,19,42,52,252
2005-06,33,MIA,NBA,C,23,23,759,178,291,.612,0,0,,178,291,.612,.612,68,182,.374,75,150,225,39,11,34,85,84,424
2006-07,34,MIA,NBA,C,4,4,121,33,59,.559,0,0,,33,59,.559,.559,9,27,.333,16,18,34,5,1,6,14,15,75
2007-08,35,PHO,NBA,C,5,5,150,22,50,.440,0,0,,22,50,.440,.440,32,64,.500,13,33,46,5,5,13,9,21,76
2009-10,37,CLE,NBA,C,11,11,243,48,93,.516,0,0,,48,93,.516,.516,31,47,.660,21,40,61,15,2,13,24,41,127
2010-11,38,BOS,NBA,C,2,0,12,1,2,.500,0,0,,1,2,.500,.500,0,2,.000,0,0,0,1,1,0,0,4,2
