Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2003-04,22,MIA,NBA,PG,13,510,17.7,.527,.042,.397,3.6,8.1,5.8,30.6,1.9,0.7,19.6,25.9,,0.6,0.5,1.1,.104,,1.8,-0.3,1.6,0.5
2004-05,23,MIA,NBA,SG,14,571,24.3,.561,.036,.495,5.3,10.7,8.3,32.5,2.1,2.1,15.3,33.9,,1.2,1.0,2.1,.180,,4.5,2.2,6.6,1.2
2005-06,24,MIA,NBA,SG,23,959,26.9,.593,.084,.567,3.6,12.7,8.4,27.9,2.8,2.3,14.0,31.7,,2.8,2.0,4.8,.240,,6.1,2.8,8.9,2.6
2006-07,25,MIA,NBA,SG,4,162,15.2,.479,.060,.381,5.1,9.4,7.1,32.8,1.6,1.0,19.0,35.3,,-0.3,0.1,-0.2,-0.060,,-2.6,0.7,-1.9,0.0
2008-09,27,MIA,NBA,SG,7,285,26.3,.565,.323,.374,1.9,12.8,7.8,31.4,1.2,3.3,12.2,37.2,,0.8,0.4,1.2,.195,,6.4,0.4,6.8,0.6
2009-10,28,MIA,NBA,SG,5,210,29.4,.650,.336,.364,3.3,14.1,8.3,40.0,2.0,3.2,16.9,34.0,,0.7,0.3,1.0,.229,,11.4,2.3,13.7,0.8
2010-11,29,MIA,NBA,SG,21,828,26.3,.570,.139,.480,6.5,15.3,11.0,24.5,2.3,2.8,12.4,30.4,,2.4,1.3,3.7,.216,,5.3,2.5,7.8,2.0
2011-12,30,MIA,NBA,SG,23,907,22.0,.526,.080,.390,4.4,11.5,8.0,21.9,2.3,2.7,12.0,29.9,,1.8,1.3,3.1,.165,,2.2,1.9,4.1,1.4
2012-13,31,MIA,NBA,SG,22,782,18.7,.498,.013,.254,6.1,9.9,8.1,24.2,2.7,2.5,14.2,25.3,,0.7,1.0,1.8,.108,,0.5,2.6,3.0,1.0
2013-14,32,MIA,NBA,SG,20,693,18.5,.560,.086,.324,3.2,11.3,7.4,20.7,2.4,0.7,14.5,27.4,,0.7,0.5,1.2,.086,,-0.6,1.1,0.5,0.4
2015-16,34,MIA,NBA,SG,14,473,22.3,.532,.091,.252,3.2,15.9,9.9,25.4,1.2,2.1,11.9,32.2,,0.7,0.8,1.5,.148,,2.7,1.3,4.0,0.7
2016-17,35,CHI,NBA,SG,6,190,15.5,.472,.198,.244,3.6,13.9,8.8,21.5,1.4,4.3,9.5,25.0,,0.1,0.2,0.2,.063,,-2.4,1.5,-0.9,0.1
2017-18,36,MIA,NBA,SG,5,127,17.3,.510,.057,.371,2.4,15.3,8.7,27.3,2.6,0.7,11.9,31.4,,0.0,0.1,0.1,.032,,-2.7,1.4,-1.4,0.0
