Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,22,MIA,NBA,PG,13,13,510,86,189,.455,3,8,.375,83,181,.459,.463,59,75,.787,16,36,52,73,17,4,54,45,234
2004-05,23,MIA,NBA,SG,14,14,571,136,281,.484,1,10,.100,135,271,.498,.486,111,139,.799,23,57,80,93,22,16,62,43,384
2005-06,24,MIA,NBA,SG,23,23,959,219,441,.497,14,37,.378,205,404,.507,.512,202,250,.808,28,107,135,132,51,26,90,71,654
2006-07,25,MIA,NBA,SG,4,4,162,36,84,.429,0,5,.000,36,79,.456,.429,22,32,.688,7,12,19,25,5,2,23,13,94
2008-09,27,MIA,NBA,SG,7,7,285,68,155,.439,18,50,.360,50,105,.476,.497,50,58,.862,4,31,35,37,6,11,25,20,204
2009-10,28,MIA,NBA,SG,5,5,210,62,110,.564,15,37,.405,47,73,.644,.632,27,40,.675,6,22,28,34,8,8,26,16,166
2010-11,29,MIA,NBA,SG,21,21,828,181,373,.485,14,52,.269,167,321,.520,.504,139,179,.777,43,107,150,92,34,28,64,53,515
2011-12,30,MIA,NBA,SG,23,23,907,197,426,.462,10,34,.294,187,392,.477,.474,121,166,.729,32,88,120,100,39,30,68,65,525
2012-13,31,MIA,NBA,SG,22,22,782,144,315,.457,1,4,.250,143,311,.460,.459,60,80,.750,38,64,102,105,38,23,58,45,349
2013-14,32,MIA,NBA,SG,20,20,693,139,278,.500,9,24,.375,130,254,.512,.516,69,90,.767,16,61,77,77,30,5,54,55,356
2015-16,34,MIA,NBA,SG,14,14,473,119,254,.469,12,23,.522,107,231,.463,.492,50,64,.781,12,67,79,60,11,13,38,22,300
2016-17,35,CHI,NBA,SG,6,6,190,32,86,.372,6,17,.353,26,69,.377,.407,20,21,.952,6,24,30,24,5,8,10,8,90
2017-18,36,MIA,NBA,SG,5,0,127,31,70,.443,0,4,.000,31,66,.470,.443,21,26,.808,3,18,21,18,7,1,11,11,83
